id,gender,masterCategory,subCategory,articleType,baseColour,season,year,usage,productDisplayName
31192,Men,Accessories,Accessories,Accessory Gift Set,Brown,Summer,2015.0,Casual,Cabarelli Men Accessory Gift Set
17375,Men,Accessories,Accessories,Accessory Gift Set,Purple,Fall,2011.0,Formal,Arrow Men Formal Purple Tie+Cufflink+Pocket square - Combo Pack
25064,Men,Accessories,Accessories,Accessory Gift Set,Brown,Winter,2015.0,Formal,Lino Perros Men Formal Brown Accessory Gift Set
25053,Men,Accessories,Accessories,Accessory Gift Set,Brown,Winter,2015.0,Formal,Lino Perros Men Formal Brown Accessory Gift Set
17379,Men,Accessories,Accessories,Accessory Gift Set,Blue,Fall,2011.0,Formal,Arrow Men Formal Blue Tie+Cufflink+Pocket square - Combo Pack
42066,Unisex,Accessories,Accessories,Key chain,Black,Summer,2012.0,Casual,American Tourister Unisex Black Key Case
31184,Men,Accessories,Accessories,Accessory Gift Set,Black,Summer,2015.0,Casual,Cabarelli Men Accessory Gift Set
31206,Men,Accessories,Accessories,Accessory Gift Set,Brown,Summer,2012.0,Casual,Cabarelli Men Brown Accessory Gift Set
25051,Men,Accessories,Accessories,Accessory Gift Set,Purple,Winter,2015.0,Formal,Lino Perros Men Formal Purple Accessory Gift Set
17366,Men,Accessories,Accessories,Accessory Gift Set,Blue,Fall,2011.0,Formal,Arrow Men Formal Blue Tie+Cufflink+Pocket square - Combo Pack
25059,Men,Accessories,Accessories,Accessory Gift Set,Purple,Winter,2015.0,Formal,Lino Perros Men Formal Purple Accessory Gift Set
58600,Women,Accessories,Accessories,Hair Accessory,Pink,Winter,2016.0,Casual,ToniQ Women Pink Hair Accessories
19934,Men,Accessories,Accessories,Accessory Gift Set,Blue,Fall,2011.0,Formal,Reid & Taylor Men Formal Blue  Tie+Cufflink+Pocket square - Combo Pack
58525,Unisex,Accessories,Accessories,Travel Accessory,Green,Summer,2010.0,Casual,Wildcraft Unisex Green Chalk Bag
25066,Men,Accessories,Accessories,Accessory Gift Set,Turquoise Blue,Winter,2015.0,Formal,Lino Perros Men Formal Turquoise Blue Accessory Gift Set
25068,Men,Accessories,Accessories,Accessory Gift Set,Maroon,Winter,2015.0,Formal,Lino Perros Men Formal Maroon Accessory Gift Set
25076,Men,Accessories,Accessories,Accessory Gift Set,Black,Winter,2015.0,Formal,Lino Perros Men Formal Black Accessory Gift Set
51329,Unisex,Accessories,Accessories,Travel Accessory,Blue,Summer,2012.0,Casual,Wildcraft Unisex Blue & Black Pouch
15654,Unisex,Accessories,Accessories,Messenger Bag,Black,Fall,2011.0,Casual,Belkin Unisex Black Messenger Bag
25056,Men,Accessories,Accessories,Accessory Gift Set,Blue,Winter,2015.0,Formal,Lino Perros Men Formal Blue Accessory Gift Set
9572,Unisex,Accessories,Accessories,Travel Accessory,Black,Fall,2011.0,Casual,Puma Unisex Big Cat Shoe Bag Black Bags
58523,Unisex,Accessories,Accessories,Travel Accessory,Yellow,Summer,2015.0,Casual,Wildcraft Unisex Yellow Travel Pouch
25073,Men,Accessories,Accessories,Accessory Gift Set,Maroon,Winter,2015.0,Formal,Lino Perros Men Formal Maroon Accessory Gift Set
19926,Men,Accessories,Accessories,Accessory Gift Set,Black,Fall,2011.0,Formal,Reid & Taylor Men Formal Black Tie+Cufflink+Pocket square - Combo Pack
19931,Men,Accessories,Accessories,Accessory Gift Set,Maroon,Fall,2011.0,Formal,Reid & Taylor Men Formal Maroon Tie+Cufflink+Pocket square - Combo Pack
25046,Men,Accessories,Accessories,Accessory Gift Set,Blue,Winter,2015.0,Formal,Lino Perros Men Formal Yellow Accessory Gift Set
39527,Unisex,Accessories,Accessories,Travel Accessory,Black,Summer,2012.0,Casual,Peter England Unisex Black Toilet Kit Bag
23105,Men,Accessories,Accessories,Accessory Gift Set,Grey,Fall,2011.0,Formal,Turtle Men Grey Accessory Gift Set
25070,Men,Accessories,Accessories,Accessory Gift Set,Blue,Winter,2015.0,Formal,Lino Perros Men Formal Blue Accessory Gift Set
58522,Unisex,Accessories,Accessories,Travel Accessory,Rust,Summer,2015.0,Casual,Wildcraft Unisex Rust Orange Travel Pouch
25599,Women,Apparel,Apparel Set,Kurta Sets,Grey,Fall,2011.0,Ethnic,Vishudh Women Grey & Black Churidar Kurta with Dupatta
21924,Women,Apparel,Apparel Set,Kurta Sets,Black,Fall,2011.0,Ethnic,Biba Women Black Printed Churidar Kurta with Dupatta
21915,Women,Apparel,Apparel Set,Kurta Sets,Orange,Fall,2011.0,Ethnic,Biba Women Orange & Purple Printed Churidar Kurta with Dupatta
28985,Women,Apparel,Apparel Set,Kurta Sets,White,Summer,2012.0,Ethnic,Biba Outlet Women White & Green Printed Churidar Kurta with Dupatta
54705,Women,Apparel,Apparel Set,Kurta Sets,Navy Blue,Fall,2012.0,Ethnic,Shree Women Navy & Beige Salwar Suit with Dupatta
2247,Women,Apparel,Apparel Set,Swimwear,Purple,Winter,2010.0,Sports,ADIDAS Women Swimming Purple Cap
28975,Women,Apparel,Apparel Set,Kurta Sets,Blue,Summer,2012.0,Ethnic,Biba Women Blue Churidar Kurta with Dupatta
28972,Women,Apparel,Apparel Set,Kurta Sets,Orange,Summer,2012.0,Ethnic,Biba Women Orange & White Printed Churidar Kurta with Dupatta
36748,Boys,Apparel,Apparel Set,Clothing Set,Blue,Summer,2012.0,Casual,Mr.Men Boys Mr. Small Blue Clothing Set
39146,Women,Apparel,Apparel Set,Kurta Sets,Purple,Fall,2012.0,Ethnic,Aneri Women Purple Ombre Churidar Kurta & Dupatta Set
21909,Women,Apparel,Apparel Set,Kurta Sets,Blue,Fall,2011.0,Ethnic,Biba Women Blue Printed Churidar Kurta with Dupatta
54686,Women,Apparel,Apparel Set,Kurta Sets,Yellow,Fall,2012.0,Ethnic,Shree Women Yellow & Brown Printed Salwar Suit with Dupatta
39140,Women,Apparel,Apparel Set,Kurta Sets,Black,Summer,2012.0,Ethnic,Aneri Women Black & Maroon Salwar Suit
28984,Women,Apparel,Apparel Set,Kurta Sets,Orange,Summer,2012.0,Ethnic,Biba Outlet Women Orange Printed Churidar Kurta with Dupatta
25588,Women,Apparel,Apparel Set,Kurta Sets,Green,Fall,2011.0,Ethnic,Vishudh Women Green & Purple Printed Churidar Kurta with Dupatta
39144,Women,Apparel,Apparel Set,Kurta Sets,Purple,Summer,2012.0,Ethnic,Aneri Women Purple & Blue Salwar Suit
36753,Girls,Apparel,Apparel Set,Clothing Set,Blue,Summer,2012.0,Casual,Little Miss Girls Chatterbox Blue Clothing Set
25600,Women,Apparel,Apparel Set,Kurta Sets,Purple,Fall,2011.0,Ethnic,Vishudh Women Magenta & Black Churidar Kurta with Dupatta
39136,Women,Apparel,Apparel Set,Kurta Sets,Blue,Summer,2012.0,Ethnic,Aneri Women Blue & White Printed Salwar Suit
24796,Women,Apparel,Apparel Set,Kurta Sets,Red,Summer,2011.0,Ethnic,Vishudh Women Red & Yellow Churidar Kurta with Dupatta
39141,Women,Apparel,Apparel Set,Kurta Sets,Magenta,Summer,2012.0,Ethnic,Aneri Women Magenta Salwar Suit
53817,Women,Apparel,Apparel Set,Kurta Sets,White,Fall,2012.0,Ethnic,Ayaany Women White & Green Self-Design Patiala Kurta Set
21916,Women,Apparel,Apparel Set,Kurta Sets,Green,Fall,2011.0,Ethnic,Biba Women Green & Black Printed Churidar Kurta with Dupatta
28980,Women,Apparel,Apparel Set,Kurta Sets,Yellow,Summer,2012.0,Ethnic,Biba Women Yellow & Green Printed Churidar Kurta with Dupatta
28989,Women,Apparel,Apparel Set,Kurta Sets,Blue,Summer,2012.0,Ethnic,Biba Outlet Women Blue & Green Printed Churidar Kurta with Dupatta
28981,Women,Apparel,Apparel Set,Kurta Sets,Cream,Summer,2012.0,Ethnic,Biba Outlet Women Cream-Coloured Printed  Churidar Kurta with Dupatta
3465,Unisex,Apparel,Apparel Set,Swimwear,Black,Fall,2010.0,Sports,ADIDAS Unisex Black White Swimming Cap
28979,Women,Apparel,Apparel Set,Kurta Sets,Black,Summer,2012.0,Ethnic,Biba Women Black Churidar Kurta with Dupatta
54723,Women,Apparel,Apparel Set,Kurta Sets,Magenta,Summer,2012.0,Ethnic,Shree Women Magenta and Yellow Printed Patiala Kurta Set
28970,Women,Apparel,Apparel Set,Kurta Sets,Black,Summer,2012.0,Ethnic,Biba Women Black Printed Churidar Kurta with Dupatta
18565,Men,Accessories,Belts,Belts,Black,Summer,2011.0,Casual,Puma Men Bolt LS Black Belt
20972,Women,Accessories,Belts,Belts,Brown,Winter,2016.0,Casual,Fastrack Women Leatherette Brown Belt
15218,Men,Accessories,Belts,Belts,Black,Summer,2011.0,Casual,United Colors of Benetton Solid Belt
19506,Men,Accessories,Belts,Belts,Black,Fall,2011.0,Casual,Wrangler Stud Men Black Belts
19892,Men,Accessories,Belts,Belts,Black,Fall,2011.0,Casual,Lee Men Canvas Black Belt
36526,Women,Accessories,Belts,Belts,Black,Summer,2012.0,Casual,United Colors of Benetton Women Black Belt
35065,Men,Accessories,Belts,Belts,Black,Summer,2012.0,Casual,Allen Solly Men Reversible Leather Black & Brown Belt
35068,Men,Accessories,Belts,Belts,Black,Winter,2012.0,Casual,Allen Solly Men Black Belt
37066,Women,Accessories,Belts,Belts,Black,Summer,2012.0,Casual,Lino Perros Women Black Belt
38384,Men,Accessories,Belts,Belts,Black,Summer,2012.0,Casual,Peter England Men Black Belt
33481,Women,Accessories,Belts,Belts,Purple,Summer,2012.0,Casual,Baggit Women Baaz Sandwichtost Purple Belt
50217,Women,Accessories,Belts,Belts,Black,Summer,2012.0,Casual,Stoln Women Black Belt
8113,Men,Accessories,Belts,Belts,Brown,Winter,2016.0,Casual,Fastrack Men Coffee Canvas Beige Stiches Belt
25756,Men,Accessories,Belts,Belts,Olive,Winter,2015.0,Casual,Lino Perros Men Canvas Olive Belt
14593,Men,Accessories,Belts,Belts,Black,Summer,2011.0,Casual,United Colors of Benetton Men Solid Black Belts
18603,Men,Accessories,Belts,Belts,Black,Fall,2011.0,Formal,New Hide Men Leather Black Belt
27809,Men,Accessories,Belts,Belts,Brown,Summer,2013.0,Formal,Bulchee Men Brown And Black Reversible Belt
14978,Men,Accessories,Belts,Belts,Black,Fall,2011.0,Casual,New Hide Men Solid Black Belts
8309,Men,Accessories,Belts,Belts,Black,Winter,2016.0,Casual,Fastrack Men Non Leather Black Silver Color Brass Belt
35060,Men,Accessories,Belts,Belts,Brown,Summer,2012.0,Casual,Allen Solly Men Leather Brown Belt
58467,Men,Accessories,Belts,Belts,Brown,Summer,2012.0,Casual,Fossil Men Brown Belt
47164,Men,Accessories,Belts,Belts,Brown,Summer,2012.0,Casual,Peter England Men Brown Belt
15939,Men,Accessories,Belts,Belts,Brown,Fall,2011.0,Casual,Turtle Men Leather Brown Belts
27808,Men,Accessories,Belts,Belts,Black,Summer,2013.0,Formal,Bulchee Men Reversible Prong Black Belt
51266,Men,Accessories,Belts,Belts,Black,Summer,2012.0,Casual,Parx Men Black Belt
18830,Men,Accessories,Belts,Belts,Black,Summer,2011.0,Formal,Peter England Men Formal Black Belt
18014,Women,Accessories,Belts,Belts,Olive,Winter,2015.0,Casual,Lino Perros Women Solid Olive Belt
45315,Men,Accessories,Belts,Belts,Black,Summer,2012.0,Formal,Van Heusen Men Black & Brown Reversible Belt
37994,Men,Accessories,Belts,Belts,Brown,Summer,2012.0,Casual,New Hide Men Brown Belt
46074,Men,Accessories,Belts,Belts,Brown,Summer,2012.0,Casual,Lino Perros Men Brown Leather Belt
38828,Women,Apparel,Dress,Dresses,Teal,Summer,2012.0,Casual,Latin Quarters Women Teal Dress
43508,Women,Apparel,Dress,Dresses,White,Summer,2012.0,Casual,French Connection Women Navy Blue Striped Dress
8479,Women,Apparel,Dress,Dresses,Cream,Fall,2011.0,Casual,Forever New Women Blossom Silk Cream Dress
59972,Women,Apparel,Dress,Dresses,Black,Fall,2012.0,Party,Avirate Black Dress
33199,Women,Apparel,Dress,Dresses,Red,Summer,2012.0,Casual,Sepia Women Printed Red Dress
58492,Women,Apparel,Dress,Dresses,Olive,Fall,2012.0,Casual,Tonga Women Olive Dress
59895,Women,Apparel,Dress,Dresses,Orange,Fall,2012.0,Casual,Femella Women Orange Dress
31168,Girls,Apparel,Dress,Dresses,White,Summer,2012.0,Casual,Gini and Jony Girls White Dress
54972,Women,Apparel,Dress,Dresses,Green,Fall,2012.0,Casual,Femella Women Green & Black Dress
6874,Women,Apparel,Dress,Dresses,Pink,Summer,2011.0,Casual,Forever New Women Pink Sleeveless Dress
59971,Women,Apparel,Dress,Dresses,Multi,Fall,2012.0,Casual,Avirate Multicoloured Dress
33970,Women,Apparel,Dress,Dresses,Navy Blue,Summer,2012.0,Casual,Femella Women Navy Blue Dress
39234,Women,Apparel,Dress,Dresses,White,Summer,2012.0,Casual,Femella Women White Panel Princess Dress
38844,Women,Apparel,Dress,Dresses,Black,Summer,2012.0,Casual,Latin Quarters Women Black & White Printed Dress
52162,Women,Apparel,Dress,Dresses,Black,Summer,2012.0,Casual,Femella Women Black Striped Tank Dress
57055,Women,Apparel,Dress,Dresses,Brown,Summer,2012.0,Casual,Elle Women Brown Dress
34062,Girls,Apparel,Dress,Dresses,Pink,Summer,2012.0,Casual,Gini and Jony Girls Printed Pink Dress
43625,Women,Apparel,Dress,Dresses,Black,Summer,2012.0,Casual,Vero Moda Women Black Printed Shift Dress
59996,Women,Apparel,Dress,Dresses,Purple,Summer,2014.0,Casual,Avirate Black & Purple Dress
43919,Women,Apparel,Dress,Dresses,Navy Blue,Summer,2012.0,Casual,Femella Women Navy Blue Printed Dress
59977,Women,Apparel,Dress,Dresses,Navy Blue,Fall,2012.0,Casual,Avirate Women Navy Blue Dress
39723,Women,Apparel,Dress,Dresses,Green,Summer,2012.0,Casual,Arrow Woman Aqua Green Dress
18758,Women,Apparel,Dress,Dresses,Black,Fall,2011.0,Casual,Arrow Woman Bling Black Dress
40427,Women,Apparel,Dress,Jumpsuit,Olive,Summer,2012.0,Casual,Tonga Women Beige Jumpsuit
39716,Women,Apparel,Dress,Dresses,Blue,Summer,2012.0,Casual,Arrow Woman Women Blue Dress
34570,Women,Apparel,Dress,Dresses,Black,Summer,2012.0,Casual,Tonga Women Printed Black Dress
43509,Women,Apparel,Dress,Dresses,Grey Melange,Summer,2012.0,Casual,French Connection Women Grey Melange Dress
52130,Girls,Apparel,Dress,Dresses,Blue,Summer,2012.0,Casual,Doodle Girls Blue Printed Dress
44944,Women,Apparel,Dress,Dresses,Navy Blue,Fall,2012.0,Casual,United Colors of Benetton Women Navy Blue Dress
49648,Women,Apparel,Dress,Dresses,Cream,Summer,2012.0,Casual,Mineral Cream & Purple Printed Dress
55075,Women,Personal Care,Eyes,Kajal and Eyeliner,Copper,Spring,2017.0,Casual,Lakme Glide On Warm Copper Eye Color
56592,Women,Personal Care,Eyes,Eyeshadow,Purple,Spring,2017.0,,Streetwear Groovy Pink Eye Shadow
56159,Women,Personal Care,Eyes,Kajal and Eyeliner,Blue,Spring,2017.0,Casual,Colorbar Electra I-Glide Eye Pencil 04
49078,Women,Personal Care,Eyes,Eyeshadow,Pink,Spring,2017.0,,Deborah HiTech Trio Smoky Eyes Eye Shadow 04
49135,Women,Personal Care,Eyes,Kajal and Eyeliner,Bronze,Spring,2017.0,Casual,Deborah 24 Ore Eye Pencil 266
55072,Women,Personal Care,Eyes,Mascara,Black,Spring,2017.0,Casual,Lakme Lash Artist Mascara
56591,Women,Personal Care,Eyes,Eyeshadow,Bronze,Spring,2017.0,,Streetwear Hi Lite Eye Shadow
49137,Women,Personal Care,Eyes,Kajal and Eyeliner,Blue,Spring,2017.0,Casual,Deborah 24 Ore Eye Pencil 267
56599,Women,Personal Care,Eyes,Kajal and Eyeliner,Blue,Spring,2017.0,Casual,Streetwear Stay On Aquamarine Eye Pencil 01
56598,Women,Personal Care,Eyes,Kajal and Eyeliner,Green,Spring,2017.0,Casual,Streetwear Stay On Emerald Eye Pencil 01
56590,Women,Personal Care,Eyes,Eyeshadow,Blue,Spring,2017.0,,Streetwear Dazzling Steel Eye Shadow
56594,Women,Personal Care,Eyes,Eyeshadow,Blue,Spring,2017.0,,Streetwear Stay On Mineral Goddess Eye Shadow
55956,Women,Personal Care,Eyes,Mascara,Black,Summer,2019.0,Casual,Colorbar Women Lash Illusion Mascara Duo DM001
